feature_set,scenario,training_seed,classifier,metric,n_simulation_seeds,mean,sd,ci95_low,ci95_high
4,DNSAmplification,155921,rf,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,rf,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,rf,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,rf,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,rf,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,rf,pr_auc_ddos,10,1.0,9.791246743253677e-17,0.9999999999999999,1.0
4,DNSAmplification,155921,xgboost,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,xgboost,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,xgboost,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,xgboost,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,xgboost,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,xgboost,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,xgboost,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,xgboost,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,155921,xgboost,pr_auc_ddos,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,hybrid,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,hybrid,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,hybrid,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,hybrid,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,hybrid,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,hybrid,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,hybrid,roc_auc,10,1.0,3.700743415417188e-17,1.0,1.0
4,DNSAmplification,181081,hybrid,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,hybrid,pr_auc_ddos,10,1.0,7.401486830834377e-17,1.0,1.0
4,DNSAmplification,181081,mlp,accuracy,10,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
4,DNSAmplification,181081,mlp,precision,0,not estimable,not estimable,not estimable,not estimable
4,DNSAmplification,181081,mlp,recall,10,0.0,0.0,0.0,0.0
4,DNSAmplification,181081,mlp,f1,10,0.0,0.0,0.0,0.0
4,DNSAmplification,181081,mlp,balanced_accuracy,10,0.5,0.0,0.5,0.5
4,DNSAmplification,181081,mlp,mcc,0,not estimable,not estimable,not estimable,not estimable
4,DNSAmplification,181081,mlp,roc_auc,10,0.0,0.0,0.0,0.0
