feature_set,run,scenario,training_seed,classifier,evaluated_flows,ground_truth_benign,ground_truth_ddos,predicted_benign,predicted_ddos,predicted_benign_proportion,predicted_ddos_proportion,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,roc_auc,pr_auc_benign,pr_auc_ddos
4,seed104729,Normal,104729,mlp,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,104729,rf,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,104729,xgboost,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,130363,hybrid,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,130363,mlp,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,130363,rf,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,130363,xgboost,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,155921,hybrid,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,155921,mlp,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,155921,rf,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,155921,xgboost,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,181081,hybrid,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,181081,mlp,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,181081,rf,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,181081,xgboost,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,206369,hybrid,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,206369,mlp,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,206369,rf,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,206369,xgboost,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,231701,hybrid,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,231701,mlp,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,231701,rf,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,231701,xgboost,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,257053,hybrid,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,257053,mlp,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,257053,rf,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,257053,xgboost,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,282427,hybrid,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,282427,mlp,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,282427,rf,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,282427,xgboost,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,307759,hybrid,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,307759,mlp,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,307759,rf,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,307759,xgboost,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,333019,hybrid,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,333019,mlp,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,333019,rf,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,Normal,333019,xgboost,50,50,0,50,0,1.0,0.0,1.0,not estimable,not estimable,not estimable,not estimable,not estimable,50,0,0,0,not estimable,not estimable,not estimable
4,seed104729,SYNFlood,104729,hybrid,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.5,0.06702360908518994,0.9703809800427242
4,seed104729,SYNFlood,104729,mlp,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,1.0,1.0,0.9999999999999999
4,seed104729,SYNFlood,104729,rf,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.054515657009072294,0.8957205827927275
4,seed104729,SYNFlood,104729,xgboost,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.05472952301487971,0.9119116105561722
4,seed104729,SYNFlood,130363,hybrid,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.034557811352586745,0.8822701516911087
4,seed104729,SYNFlood,130363,mlp,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.034557811352586745,0.8822701516911087
4,seed104729,SYNFlood,130363,rf,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.04669794298087333,0.8832795798453372
4,seed104729,SYNFlood,130363,xgboost,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.04669794298087333,0.9146626200815897
4,seed104729,SYNFlood,155921,hybrid,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.5,0.06678797761507714,0.9703809800427242
4,seed104729,SYNFlood,155921,mlp,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,1.0,1.0,0.9999999999999999
4,seed104729,SYNFlood,155921,rf,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.05346303966953985,0.8965803190470203
4,seed104729,SYNFlood,155921,xgboost,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.05472952301487971,0.9119116105561722
4,seed104729,SYNFlood,181081,hybrid,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.5,0.06682489778756434,0.9703809800427242
4,seed104729,SYNFlood,181081,mlp,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,1.0,1.0,0.9999999999999999
4,seed104729,SYNFlood,181081,rf,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.05472952301487971,0.9089338180240649
4,seed104729,SYNFlood,181081,xgboost,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.05472952301487971,0.9119116105561722
4,seed104729,SYNFlood,206369,hybrid,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.5,0.06702360908518994,0.9703809800427242
4,seed104729,SYNFlood,206369,mlp,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.5,0.06702360908518994,0.9703809800427242
4,seed104729,SYNFlood,206369,rf,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.05472952301487971,0.8879923175531723
4,seed104729,SYNFlood,206369,xgboost,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.05472952301487971,0.9119116105561722
4,seed104729,SYNFlood,231701,hybrid,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.5,0.06678797761507714,0.9703809800427242
4,seed104729,SYNFlood,231701,mlp,850,50,800,848,2,0.9976470588235294,0.002352941176470588,0.0611764705882353,1.0,0.0025,0.004987531172069825,0.50125,0.012141073279465802,50,0,798,2,0.8694,0.7567064418973812,0.9919098888383137
4,seed104729,SYNFlood,231701,rf,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.05366702135472086,0.8865756040243812
4,seed104729,SYNFlood,231701,xgboost,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.05472952301487971,0.9119116105561722
4,seed104729,SYNFlood,257053,hybrid,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.03490162429542498,0.8822701516911087
4,seed104729,SYNFlood,257053,mlp,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.5,0.06702360908518994,0.9703809800427242
4,seed104729,SYNFlood,257053,rf,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.054515657009072294,0.8993663646893356
4,seed104729,SYNFlood,257053,xgboost,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.05472952301487971,0.9119116105561722
4,seed104729,SYNFlood,282427,hybrid,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.5,0.06682489778756434,0.9703809800427242
4,seed104729,SYNFlood,282427,mlp,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,1.0,1.0,0.9999999999999999
4,seed104729,SYNFlood,282427,rf,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.05372234688495399,0.914290393828491
4,seed104729,SYNFlood,282427,xgboost,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.05472952301487971,0.9119116105561722
4,seed104729,SYNFlood,307759,hybrid,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.03447599814510082,0.894002176929271
4,seed104729,SYNFlood,307759,mlp,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.5,0.06639087790103353,0.9703809800427242
4,seed104729,SYNFlood,307759,rf,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.04669794298087333,0.8942094321806643
4,seed104729,SYNFlood,307759,xgboost,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.04669794298087333,0.9146626200815897
4,seed104729,SYNFlood,333019,hybrid,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.0340491405230625,0.8827903496975152
4,seed104729,SYNFlood,333019,mlp,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.0340491405230625,0.8988750977662138
4,seed104729,SYNFlood,333019,rf,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.0,0.058823529411764705,0.8832795798453372
4,seed104729,SYNFlood,333019,xgboost,850,50,800,850,0,1.0,0.0,0.058823529411764705,not estimable,0.0,0.0,0.5,not estimable,50,0,800,0,0.07940000000000003,0.052526119937025904,0.9226943476707312
4,seed104729,UDPFlood,104729,hybrid,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0000000000000002
4,seed104729,UDPFlood,104729,mlp,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,0.9999999999999999,1.0
4,seed104729,UDPFlood,104729,rf,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,104729,xgboost,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,130363,hybrid,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,130363,mlp,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,130363,rf,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,130363,xgboost,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,155921,hybrid,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,155921,mlp,70,50,20,70,0,1.0,0.0,0.7142857142857143,not estimable,0.0,0.0,0.5,not estimable,50,0,20,0,0.0,0.5253945074571427,0.2857142857142857
4,seed104729,UDPFlood,155921,rf,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,155921,xgboost,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,181081,hybrid,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,181081,mlp,70,50,20,70,0,1.0,0.0,0.7142857142857143,not estimable,0.0,0.0,0.5,not estimable,50,0,20,0,0.0,0.5248450569076921,0.2857142857142857
4,seed104729,UDPFlood,181081,rf,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,181081,xgboost,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,206369,hybrid,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,206369,mlp,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0000000000000002,1.0
4,seed104729,UDPFlood,206369,rf,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,206369,xgboost,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0
4,seed104729,UDPFlood,231701,hybrid,70,50,20,50,20,0.7142857142857143,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,50,0,0,20,1.0,1.0,1.0000000000000002
4,seed104729,UDPFlood,231701,mlp,70,50,20,70,0,1.0,0.0,0.7142857142857143,not estimable,0.0,0.0,0.5,not estimable,50,0,20,0,0.0,0.524961947614881,0.2857142857142857
