feature_set,model,n_seeds,fpr,mean_tpr,sd_tpr
8,xgboost,10,0.198,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.199,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.2,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.201,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.202,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.203,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.20400000000000001,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.20500000000000002,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.20600000000000002,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.20700000000000002,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.20800000000000002,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.209,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.21,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.211,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.212,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.213,0.9997338457146471,8.937748455817429e-05
8,xgboost,10,0.214,0.9997347463671608,8.875599066639806e-05
8,xgboost,10,0.215,0.9997359752388867,8.790800995919074e-05
8,xgboost,10,0.216,0.9997372041106128,8.70600296677977e-05
8,xgboost,10,0.217,0.999738432982339,8.621204980459768e-05
8,xgboost,10,0.218,0.9997396618540648,8.536407038229602e-05
8,xgboost,10,0.219,0.999740890725791,8.451609141416381e-05
8,xgboost,10,0.22,0.9997421195975171,8.366811291395644e-05
8,xgboost,10,0.221,0.9997433484692433,8.28201348961558e-05
8,xgboost,10,0.222,0.9997445773409691,8.197215737567771e-05
8,xgboost,10,0.223,0.9997458062126953,8.11241803681174e-05
8,xgboost,10,0.224,0.9997470350844214,8.027620388967548e-05
8,xgboost,10,0.225,0.9997482639561474,7.942822795740756e-05
8,xgboost,10,0.226,0.9997494928278734,7.858025258893987e-05
8,xgboost,10,0.227,0.9997507216995997,7.77322778026702e-05
8,xgboost,10,0.228,0.9997519505713257,7.688430361797113e-05
8,xgboost,10,0.229,0.9997531794430516,7.60363300549138e-05
8,xgboost,10,0.23,0.9997544083147776,7.518835713453081e-05
8,xgboost,10,0.231,0.999755637186504,7.434038487876076e-05
8,xgboost,10,0.232,0.9997568660582299,7.349241331071816e-05
8,xgboost,10,0.233,0.9997580949299559,7.264444245443082e-05
8,xgboost,10,0.234,0.9997593238016822,7.179647233506421e-05
8,xgboost,10,0.23500000000000001,0.999760552673408,7.094850297915035e-05
8,xgboost,10,0.23600000000000002,0.9997617815451342,7.010053441433894e-05
8,xgboost,10,0.23700000000000002,0.9997630104168603,6.925256666969009e-05
8,xgboost,10,0.23800000000000002,0.9997642392885865,6.84045997756513e-05
8,xgboost,10,0.23900000000000002,0.9997654681603123,6.755663376436223e-05
8,xgboost,10,0.24,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.241,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.242,0.9997660118758456,6.718145063873961e-05
