comparison_type,stratum,metric,left,right,matched_seeds,mean_difference_left_minus_right,difference_ci95_low,difference_ci95_high,paired_t_p,status,p_holm,significant_after_holm_0.05
feature_set,rf,recall,4,6,10,-0.0019002420893897253,-0.004031114547963329,0.00023063036918387846,0.07444369824980504,tested,1.0,False
feature_set,rf,f1,4,6,10,-0.002825447833940886,-0.003856007753600242,-0.0017948879142815298,0.00015847115804385506,tested,0.029951048870288606,True
feature_set,rf,roc_auc,4,6,10,-0.0002852205277245723,-0.0003263020615086841,-0.00024413899394046048,7.562644720618909e-08,tested,1.739408285742349e-05,True
feature_set,rf,pr_auc_benign,4,6,10,-0.00027037821158311105,-0.0003109308480601457,-0.00022982557510607638,1.0755686969713935e-07,tested,2.4307852551553493e-05,True
feature_set,rf,pr_auc_ddos,4,6,10,-0.00030505098152402434,-0.0003498442305637251,-0.0002602577324843236,8.945065325237978e-08,tested,2.0394748941542587e-05,True
feature_set,rf,balanced_accuracy,4,6,10,-0.0028683209187571946,-0.003883123558476422,-0.0018535182790379672,0.0001261676639850945,tested,0.024476526813108333,True
feature_set,rf,mcc,4,6,10,-0.005705699843406608,-0.007761374073822448,-0.003650025612990769,0.00014458151770412554,tested,0.02761506988148798,True
feature_set,rf,accuracy,4,8,10,-0.003071165261909636,-0.004022672696327002,-0.0021196578274922705,4.5571618957367186e-05,tested,0.009159895410430805,True
feature_set,rf,precision,4,8,10,-0.0038515440627003295,-0.004423224262694692,-0.003279863862705967,9.823653159335353e-08,tested,2.229969267169125e-05,True
feature_set,rf,recall,4,8,10,-0.002192913690390985,-0.004452115927410866,6.628854662889608e-05,0.055722521317785274,tested,1.0,False
feature_set,rf,f1,4,8,10,-0.003031662487690867,-0.004006458076673171,-0.0020568668987085625,6.0826412185265286e-05,tested,0.011982803200497261,True
feature_set,rf,roc_auc,4,8,10,-0.0002919604734292758,-0.00041545878184162503,-0.00016846216501692653,0.00046361010340961945,tested,0.0811317680966834,False
feature_set,rf,pr_auc_benign,4,8,10,-0.0002612724902137598,-0.0003949956724199395,-0.00012754930800758005,0.0016714948003839023,tested,0.26576767326104045,False
feature_set,rf,pr_auc_ddos,4,8,10,-0.00032753403207516076,-0.0004371540491473588,-0.00021791401500296273,8.279068896081049e-05,tested,0.016226975036318855,True
feature_set,rf,balanced_accuracy,4,8,10,-0.003074548843759162,-0.004032289932863609,-0.002116807754654714,4.754539783548157e-05,tested,0.009509079567096314,True
feature_set,rf,mcc,4,8,10,-0.006124492646503876,-0.008067979635437556,-0.004181005657570196,5.492126586670389e-05,tested,0.010874410641607369,True
feature_set,rf,accuracy,6,8,10,-0.00020687165534148954,-0.00031003360544885574,-0.00010370970523412332,0.0014133304892592791,tested,0.22754620877074394,False
feature_set,rf,precision,6,8,10,-0.00012463014375841964,-0.00045405340917447745,0.00020479312165763816,0.4142912509233245,tested,1.0,False
feature_set,rf,recall,6,8,10,-0.00029267160100125976,-0.0004599483503911185,-0.000125394851611401,0.0033146638054618043,tested,0.4806262517919616,False
feature_set,rf,f1,6,8,10,-0.00020621465374998094,-0.0003061162045100924,-0.00010631310298986949,0.0011694218291444741,tested,0.1906157581505493,False
feature_set,rf,roc_auc,6,8,10,-6.739945704703487e-06,-0.00012482553004465396,0.00011134563863524698,0.9001047802499881,tested,1.0,False
feature_set,rf,pr_auc_benign,6,8,10,9.105721369351282e-06,-0.00011411328017782683,0.0001323247229165294,0.8709317519245988,tested,1.0,False
feature_set,rf,pr_auc_ddos,6,8,10,-2.248305055113642e-05,-0.00013132698161749337,8.636088051522053e-05,0.6514087386271572,tested,1.0,False
feature_set,rf,balanced_accuracy,6,8,10,-0.00020622792500196718,-0.00031004001701223427,-0.00010241583299170009,0.0015020916038340577,tested,0.24033465661344924,False
feature_set,rf,mcc,6,8,10,-0.00041879280309726764,-0.0006171633271997262,-0.00022042227899480906,0.00100718777726559,tested,0.1658347727908893,False
feature_set,xgboost,accuracy,4,6,10,-0.0016146258342122689,-0.0023454255277814986,-0.0008838261406430391,0.0007409873479152021,tested,0.12596784914558434,False
feature_set,xgboost,precision,4,6,10,-0.0013520238155845688,-0.0016986338218138082,-0.0010054138093553294,1.0032127721767022e-05,tested,0.0020866825661275405,True
feature_set,xgboost,recall,4,6,10,-0.0018574617129897386,-0.003205059461052143,-0.0005098639649273337,0.012357512035494837,tested,1.0,False
feature_set,xgboost,f1,4,6,10,-0.0015988592184588257,-0.002327741205181236,-0.0008699772317364154,0.0007781553538145983,tested,0.1315082547946671,False
feature_set,xgboost,roc_auc,4,6,10,-0.00012644576640119531,-0.00021485105048778613,-3.8040482314604496e-05,0.010231208895203492,tested,1.0,False
feature_set,xgboost,pr_auc_benign,4,6,10,-0.00010974820428597543,-0.00019826297565338962,-2.1233432918561234e-05,0.02055030760586844,tested,1.0,False
feature_set,xgboost,pr_auc_ddos,4,6,10,-0.00015103241662695055,-0.00023159124724532844,-7.047358600857264e-05,0.0021707259925369733,tested,0.3318607042569156,False
feature_set,xgboost,balanced_accuracy,4,6,10,-0.0016101475634885732,-0.0023369254376734974,-0.0008833696893036489,0.0007272488671257935,tested,0.12435955627851068,False
feature_set,xgboost,mcc,4,6,10,-0.003242239380183298,-0.004726656854708893,-0.0017578219056577035,0.0008011765851999562,tested,0.13459766631359266,False
feature_set,xgboost,accuracy,4,8,10,-0.001194286419348789,-0.0019016991561993171,-0.0004868736824982607,0.00409570873620357,tested,0.5847248841574827,False
feature_set,xgboost,precision,4,8,10,-0.0012240958933664615,-0.001728908353815544,-0.0007192834329173787,0.00038744334274017864,tested,0.06819002832227145,False
feature_set,xgboost,recall,4,8,10,-0.0011406633695928647,-0.002985114830503454,0.0007037880913177248,0.19532293463433123,tested,1.0,False
feature_set,xgboost,f1,4,8,10,-0.0011786853158962328,-0.0018936833194326502,-0.0004636873123598156,0.0047032678092482,tested,0.6349411542485071,False
feature_set,xgboost,roc_auc,4,8,10,-0.00012660866384002213,-0.00023493653631454696,-1.828079136549731e-05,0.02674200470924395,tested,1.0,False
feature_set,xgboost,pr_auc_benign,4,8,10,-9.718781197904924e-05,-0.0001981974773444644,3.8218533863659435e-06,0.057495352405759384,tested,1.0,False
feature_set,xgboost,pr_auc_ddos,4,8,10,-0.000158973846960353,-0.00025473472994114253,-6.321296397956351e-05,0.0045166678237851,tested,0.6187834918585587,False
feature_set,xgboost,balanced_accuracy,4,8,10,-0.0011895392063618004,-0.0018939423548406486,-0.00048513605788295196,0.00408898520389848,tested,0.5847248841574827,False
feature_set,xgboost,mcc,4,8,10,-0.0023971381026524296,-0.0038524223217539107,-0.0009418538835509484,0.0047250114282775466,tested,0.6349411542485071,False
