seed,left_feature_set,left_model,right_feature_set,right_model,matched_observations,left_error_right_correct,left_correct_right_error,discordant,mcnemar_exact_p,paired_error_difference_left_minus_right,error_difference_ci95_low,error_difference_ci95_high,status,mcnemar_p_holm,significant_after_holm_0.05
104729,6,xgboost,8,mlp,43500,22,236,258,1.914810425295666e-46,-0.004919540229885057,-0.005641800567605835,-0.004197279892164279,tested,9.650644543490156e-44,True
104729,6,xgboost,8,rf,43500,38,29,67,0.3284320626971897,0.00020689655172413793,-0.0001619138597566506,0.0005757069632049265,tested,1.0,False
104729,6,xgboost,8,xgboost,43500,13,30,43,0.0137181850586785,-0.00039080459770114945,-0.0006862467655820155,-9.536242982028335e-05,tested,1.0,False
104729,8,hybrid,8,mlp,43500,23,224,247,1.4246899439585884e-42,-0.004620689655172414,-0.0053274989246495374,-0.00391388038569529,tested,7.137696619232528e-40,True
104729,8,hybrid,8,rf,43500,26,4,30,5.9476122260093696e-05,0.0005057471264367816,0.0002590001254124674,0.0007524941274610958,tested,0.016593838110566143,True
104729,8,hybrid,8,xgboost,43500,6,10,16,0.454498291015625,-9.195402298850575e-05,-0.00027218390804597696,8.827586206896548e-05,tested,1.0,False
104729,8,mlp,8,rf,43500,250,27,277,2.0235224039858206e-46,0.005126436781609196,0.004378071455902965,0.005874802107315426,tested,1.0178317692048678e-43,True
104729,8,mlp,8,xgboost,43500,230,33,263,1.6081565355880961e-37,0.004528735632183908,0.0037992582829075093,0.005258212981460307,tested,7.928211720449314e-35,True
104729,8,rf,8,xgboost,43500,10,36,46,0.00015641720852954677,-0.0005977011494252873,-0.0009032476757501827,-0.0002921546231003919,tested,0.03926071934091624,True
130363,4,hybrid,4,mlp,43504,435,2707,3142,0.0,-0.0522250827510114,-0.054702366187198134,-0.04974779931482466,tested,0.0,True
130363,4,hybrid,4,rf,43504,23,45,68,0.01033766119369546,-0.000505700625229864,-0.0008771937655037911,-0.0001342074849559369,tested,1.0,False
130363,4,hybrid,4,xgboost,43504,146,114,260,0.054328772949860875,0.000735564545788893,9.125988671327767e-06,0.0014620031029064582,tested,1.0,False
130363,4,hybrid,6,hybrid,43504,179,17,196,2.8121907999796446e-35,0.003723795513056271,0.003094013090537338,0.004353577935575203,tested,1.3807856827900057e-32,True
130363,4,hybrid,6,mlp,43504,571,487,1058,0.010684758271590192,0.001930856932695844,0.00046550677597144126,0.003396207089420247,tested,1.0,False
130363,4,hybrid,6,rf,43504,193,34,227,3.5857489595161527e-28,0.003654836336888562,0.002976901123799006,0.004332771549978118,tested,1.6530302703369465e-25,True
130363,4,hybrid,6,xgboost,43504,185,28,213,1.4329384795894114e-29,0.003608863552776756,0.0029521994417468144,0.004265527663806698,tested,6.72048146927434e-27,True
130363,4,hybrid,8,hybrid,43504,177,43,220,1.6841626418883794e-20,0.0030801765354909892,0.0024125471576133288,0.0037478059133686497,tested,7.090324722350077e-18,True
130363,4,hybrid,8,mlp,43504,579,346,925,1.74244841450729e-14,0.005355829349025377,0.003986494723555417,0.006725163974495336,tested,6.6910019117079935e-12,True
130363,4,hybrid,8,rf,43504,196,37,233,2.467676296158935e-27,0.003654836336888562,0.0029679773648166267,0.004341695308960497,tested,1.1203250384561564e-24,True
130363,4,hybrid,8,xgboost,43504,183,51,234,1.2052361187232738e-18,0.0030342037513791833,0.002345602491139027,0.0037228050116193396,tested,4.953520447952655e-16,True
130363,4,mlp,4,rf,43504,2730,480,3210,0.0,0.05171938212578154,0.04921346816596071,0.05422529608560237,tested,0.0,True
130363,4,mlp,4,xgboost,43504,2853,549,3402,0.0,0.05296064729680029,0.050380364052228316,0.05554093054137227,tested,0.0,True
130363,4,mlp,6,hybrid,43504,2857,423,3280,0.0,0.05594887826406767,0.0534227189361659,0.05847503759196944,tested,0.0,True
130363,4,mlp,6,mlp,43504,2744,388,3132,0.0,0.054155939683707244,0.05168642637347137,0.056625452993943115,tested,0.0,True
130363,4,mlp,6,rf,43504,2874,443,3317,0.0,0.055879919087899965,0.053338803909093964,0.058421034266705966,tested,0.0,True
130363,4,mlp,6,xgboost,43504,2855,426,3281,0.0,0.05583394630378816,0.053307160735063676,0.05836073187251264,tested,0.0,True
130363,4,mlp,8,hybrid,43504,2849,443,3292,0.0,0.055305259286502394,0.05277303450310136,0.057837484069903425,tested,0.0,True
130363,4,mlp,8,mlp,43504,2747,242,2989,0.0,0.057580912100036775,0.05517790709774821,0.05998391710232534,tested,0.0,True
130363,4,mlp,8,rf,43504,2878,447,3325,0.0,0.055879919087899965,0.05333561070555906,0.05842422747024087,tested,0.0,True
130363,4,mlp,8,xgboost,43504,2852,448,3300,0.0,0.055259286502390585,0.05272376880281889,0.05779480420196228,tested,0.0,True
130363,4,rf,4,xgboost,43504,191,137,328,0.0033666551641164575,0.001241265171018757,0.0004253886884569021,0.0020571416535806117,tested,0.6733310328232915,False
130363,4,rf,6,hybrid,43504,217,33,250,2.227912694695624e-34,0.004229496138286134,0.0035182419070585447,0.004940750369513724,tested,1.0872213950114646e-31,True
130363,4,rf,6,mlp,43504,610,504,1114,0.0016438420629151288,0.002436557557925708,0.0009329859450561691,0.0039401291707952465,tested,0.34520683321217704,False
130363,4,rf,6,rf,43504,218,37,255,2.132134283489066e-32,0.004160536962118426,0.003442147848720235,0.004878926075516617,tested,1.0234244560747517e-29,True
130363,4,rf,6,xgboost,43504,222,43,265,2.97063057969894e-30,0.00411456417800662,0.003382160598498372,0.004846967757514868,tested,1.4021376336178996e-27,True
130363,4,rf,8,hybrid,43504,213,57,270,2.3361438271800894e-22,0.003585877160720853,0.0028463342238623486,0.004325420097579358,tested,1.0115502771689787e-19,True
130363,4,rf,8,mlp,43504,618,363,981,3.4823516710981924e-16,0.005861529974255241,0.004451477516388564,0.007271582432121917,tested,1.3964230201103752e-13,True
130363,4,rf,8,rf,43504,220,39,259,8.279168491897413e-32,0.004160536962118426,0.003436518789352718,0.004884555134884134,tested,3.949163370635066e-29,True
130363,4,rf,8,xgboost,43504,219,65,284,1.1355441084454051e-20,0.0035399043766090473,0.002781372524383921,0.004298436228834173,tested,4.7919961376396095e-18,True
130363,4,xgboost,6,hybrid,43504,146,16,162,1.91831757484474e-27,0.002988230967267378,0.0024154770825629214,0.0035609848519718343,tested,8.766711317040462e-25,True
130363,4,xgboost,6,mlp,43504,544,492,1036,0.11303781567154199,0.001195292386906951,-0.00025481018257559164,0.0026453949563894938,tested,1.0,False
130363,4,xgboost,6,rf,43504,157,30,187,5.78796833231338e-22,0.002919271791099669,0.002303780757047945,0.0035347628251513933,tested,2.494614351227067e-19,True
130363,4,xgboost,6,xgboost,43504,151,26,177,1.2656782126160675e-22,0.002873299006987863,0.002274505020318018,0.003472092993657708,tested,5.518357007006054e-20,True
130363,4,xgboost,8,hybrid,43504,145,43,188,3.986378634118628e-14,0.0023446119897020962,0.0017272578091069085,0.002961966170297284,tested,1.51083750233096e-11,True
130363,4,xgboost,8,mlp,43504,553,352,905,2.4698298161886867e-11,0.004620264803236484,0.0032655957166428436,0.0059749338898301245,tested,8.693800952984177e-09,True
130363,4,xgboost,8,rf,43504,161,34,195,5.8157087900911016e-21,0.002919271791099669,0.00229072743666637,0.003547816145532968,tested,2.465860526998627e-18,True
130363,4,xgboost,8,xgboost,43504,151,51,202,1.1134318859529726e-12,0.0022986392055902903,0.0016586681739354475,0.002938610237245133,tested,4.06402638372835e-10,True
130363,6,hybrid,6,mlp,43504,421,499,920,0.011089374870731998,-0.0017929385803604266,-0.003159385529123426,-0.00042649163159742733,tested,1.0,False
130363,6,hybrid,6,rf,43504,17,20,37,0.7428293587290682,-6.895917616770872e-05,-0.0003430102578020209,0.00020509190546660346,tested,1.0,False
130363,6,hybrid,6,xgboost,43504,11,16,27,0.44206833839416504,-0.00011493196027951453,-0.00034903612125822254,0.00011917220069919346,tested,1.0,False
130363,6,hybrid,8,hybrid,43504,10,38,48,6.169640777642373e-05,-0.0006436189775652813,-0.0009557025791352787,-0.000331535375995284,tested,0.017149919389774924,True
130363,6,hybrid,8,mlp,43504,420,349,769,0.011545549266256226,0.0016320338359691062,0.0003827465508588386,0.002881321121079374,tested,1.0,False
130363,6,hybrid,8,rf,43504,25,28,53,0.7838463022094988,-6.895917616770872e-05,-0.00039695548762373815,0.0002590371352883207,tested,1.0,False
130363,6,hybrid,8,xgboost,43504,16,46,62,0.00017632711255144299,-0.0006895917616770872,-0.0010442869107792584,-0.00033489661257491603,tested,0.04355279680020642,True
130363,6,mlp,6,rf,43504,516,441,957,0.016708243179612243,0.001723979404192718,0.0003303140586033203,0.003117644749782116,tested,1.0,False
130363,6,mlp,6,xgboost,43504,510,437,947,0.019252341593230585,0.001678006620080912,0.00029163783223324757,0.0030643754079285766,tested,1.0,False
130363,6,mlp,8,hybrid,43504,503,453,956,0.11297040209879043,0.0011493196027951452,-0.00024366964896440973,0.0025423088545547,tested,1.0,False
130363,6,mlp,8,mlp,43504,268,119,387,2.5669996294483127e-14,0.003424972416329533,0.0025392435004548413,0.004310701332204224,tested,9.831608580787037e-12,True
130363,6,mlp,8,rf,43504,520,445,965,0.017167166941934733,0.001723979404192718,0.0003245002553702969,0.003123458553015139,tested,1.0,False
130363,6,mlp,8,xgboost,43504,509,461,970,0.1312362765289052,0.0011033468186833395,-0.00029980894156715165,0.0025065025789338304,tested,1.0,False
130363,6,rf,6,xgboost,43504,31,33,64,0.9006532462520334,-4.597278411180581e-05,-0.00040640329516722633,0.00031445772694361465,tested,1.0,False
130363,6,rf,8,hybrid,43504,28,53,81,0.007275502036308492,-0.0005746598013975726,-0.0009801084567956965,-0.0001692111459994487,tested,1.0,False
130363,6,rf,8,mlp,43504,439,365,804,0.009994556457798983,0.001700993012136815,0.00042359599426569096,0.002978390030007939,tested,1.0,False
130363,6,rf,8,rf,43504,24,24,48,1.0,0.0,-0.0003121422030925532,0.0003121422030925532,tested,1.0,False
130363,6,rf,8,xgboost,43504,34,61,95,0.007313123139453615,-0.0006206325855093785,-0.001059724428406435,-0.000181540742612322,tested,1.0,False
130363,6,xgboost,8,hybrid,43504,11,34,45,0.0008240823595997425,-0.0005286870172857668,-0.0008308765690666828,-0.0002264974655048508,tested,0.18294628383114284,False
130363,6,xgboost,8,mlp,43504,425,349,774,0.006983199274646488,0.001746965796248621,0.0004936367605403325,0.0030002948319569093,tested,1.0,False
130363,6,xgboost,8,rf,43504,37,35,72,0.906294324703081,4.597278411180581e-05,-0.00033632153417135124,0.0004282671023949628,tested,1.0,False
130363,6,xgboost,8,xgboost,43504,8,33,41,0.00011222142620681552,-0.0005746598013975726,-0.0008630946288795985,-0.0002862249739155467,tested,0.02906534938756522,True
130363,8,hybrid,8,mlp,43504,436,337,773,0.0004168472324714609,0.002275652813534388,0.0010232087945898467,0.003528096832478929,tested,0.09879279409573623,False
130363,8,hybrid,8,rf,43504,30,5,35,2.2361520677804947e-05,0.0005746598013975726,0.0003081723620394446,0.0008411472407557005,tested,0.0065072025172412395,True
130363,8,hybrid,8,xgboost,43504,6,8,14,0.79052734375,-4.597278411180581e-05,-0.00021454828715190014,0.0001226027189282885,tested,1.0,False
130363,8,mlp,8,rf,43504,367,441,808,0.0101810949883988,-0.001700993012136815,-0.0029815641884140247,-0.0004204218358596053,tested,1.0,False
