feature_set,model,metric,n_seeds,mean,sd,ci95_method,ci95_low_raw,ci95_high_raw,ci95_low,ci95_high,ci95_display_constrained_to_0_1,manuscript_value
6,xgboost,f1,10,0.9866585407668194,0.0011426336671155936,"two-sided mean t interval, df=n-1",0.9858411498820334,0.9874759316516053,0.9858411498820334,0.9874759316516053,False,0.9867 ± 0.0011 (95% CI 0.9858–0.9875)
6,xgboost,roc_auc,10,0.9993403423254505,0.00014578200167034041,"two-sided mean t interval, df=n-1",0.9992360561637869,0.9994446284871142,0.9992360561637869,0.9994446284871142,False,0.9993 ± 0.0001 (95% CI 0.9992–0.9994)
6,xgboost,pr_auc_benign,10,0.9993303734567904,0.0001663142328258213,"two-sided mean t interval, df=n-1",0.9992113994217743,0.9994493474918066,0.9992113994217743,0.9994493474918066,False,0.9993 ± 0.0002 (95% CI 0.9992–0.9994)
6,xgboost,pr_auc_ddos,10,0.9993353571084436,0.00010935825314603227,"two-sided mean t interval, df=n-1",0.9992571269268288,0.9994135872900584,0.9992571269268288,0.9994135872900584,False,0.9993 ± 0.0001 (95% CI 0.9993–0.9994)
6,xgboost,balanced_accuracy,10,0.9864979980194466,0.0010817508900449091,"two-sided mean t interval, df=n-1",0.985724160049694,0.9872718359891992,0.985724160049694,0.9872718359891992,False,0.9865 ± 0.0011 (95% CI 0.9857–0.9873)
6,xgboost,mcc,10,0.973183304481268,0.002266121652516991,"two-sided mean t interval, df=n-1",0.9715622187073303,0.9748043902552057,0.9715622187073303,0.9748043902552057,False,0.9732 ± 0.0023 (95% CI 0.9716–0.9748)
8,hybrid,accuracy,10,0.9862220404867905,0.0010822413626432046,"two-sided mean t interval, df=n-1",0.9854478516540774,0.9869962293195036,0.9854478516540774,0.9869962293195036,False,0.9862 ± 0.0011 (95% CI 0.9854–0.9870)
8,hybrid,precision,10,0.9788179959411071,0.0011151308515582915,"two-sided mean t interval, df=n-1",0.9780202793853642,0.97961571249685,0.9780202793853642,0.97961571249685,False,0.9788 ± 0.0011 (95% CI 0.9780–0.9796)
8,hybrid,recall,10,0.994015310342672,0.00341987529934833,"two-sided mean t interval, df=n-1",0.9915688789296642,0.9964617417556798,0.9915688789296642,0.9964617417556798,False,0.9940 ± 0.0034 (95% CI 0.9916–0.9965)
8,hybrid,f1,10,0.9863534913187681,0.0011244951705978586,"two-sided mean t interval, df=n-1",0.9855490759327304,0.9871579067048059,0.9855490759327304,0.9871579067048059,False,0.9864 ± 0.0011 (95% CI 0.9855–0.9872)
8,hybrid,roc_auc,10,0.999116961541797,0.0004855006805832035,"two-sided mean t interval, df=n-1",0.9987696552770797,0.9994642678065142,0.9987696552770797,0.9994642678065142,False,0.9991 ± 0.0005 (95% CI 0.9988–0.9995)
8,hybrid,pr_auc_benign,10,0.9989803077473491,0.0005609455372481434,"two-sided mean t interval, df=n-1",0.9985790314833953,0.999381584011303,0.9985790314833953,0.999381584011303,False,0.9990 ± 0.0006 (95% CI 0.9986–0.9994)
8,hybrid,pr_auc_ddos,10,0.9992101881692841,0.0003879026209166797,"two-sided mean t interval, df=n-1",0.9989326993505604,0.9994876769880078,0.9989326993505604,0.9994876769880078,False,0.9992 ± 0.0004 (95% CI 0.9989–0.9995)
8,hybrid,balanced_accuracy,10,0.9861978272960424,0.001065707089647722,"two-sided mean t interval, df=n-1",0.9854354663697023,0.9869601882223826,0.9854354663697023,0.9869601882223826,False,0.9862 ± 0.0011 (95% CI 0.9854–0.9870)
8,hybrid,mcc,10,0.9725693019754967,0.0022397723969974893,"two-sided mean t interval, df=n-1",0.9709670653234626,0.9741715386275309,0.9709670653234626,0.9741715386275309,False,0.9726 ± 0.0022 (95% CI 0.9710–0.9742)
8,mlp,accuracy,10,0.9835918277413708,0.005863698981420853,"two-sided mean t interval, df=n-1",0.9793971901803745,0.987786465302367,0.9793971901803745,0.987786465302367,False,0.9836 ± 0.0059 (95% CI 0.9794–0.9878)
8,mlp,precision,10,0.9752859059945198,0.006617334942232989,"two-sided mean t interval, df=n-1",0.9705521497443554,0.9800196622446842,0.9705521497443554,0.9800196622446842,False,0.9753 ± 0.0066 (95% CI 0.9706–0.9800)
8,mlp,recall,10,0.9924305075552045,0.006855164517866775,"two-sided mean t interval, df=n-1",0.9875266182756622,0.9973343968347467,0.9875266182756622,0.9973343968347467,False,0.9924 ± 0.0069 (95% CI 0.9875–0.9973)
8,mlp,f1,10,0.983773191357894,0.0058425512373410145,"two-sided mean t interval, df=n-1",0.9795936819816714,0.9879527007341166,0.9795936819816714,0.9879527007341166,False,0.9838 ± 0.0058 (95% CI 0.9796–0.9880)
8,mlp,roc_auc,10,0.9973913073669692,0.001960771680557029,"two-sided mean t interval, df=n-1",0.9959886558042164,0.9987939589297221,0.9959886558042164,0.9987939589297221,False,0.9974 ± 0.0020 (95% CI 0.9960–0.9988)
8,mlp,pr_auc_benign,10,0.9969209466338672,0.0025516616357904895,"two-sided mean t interval, df=n-1",0.995095597860959,0.9987462954067754,0.995095597860959,0.9987462954067754,False,0.9969 ± 0.0026 (95% CI 0.9951–0.9987)
8,mlp,pr_auc_ddos,10,0.9974291906554644,0.0016373198291888462,"two-sided mean t interval, df=n-1",0.9962579226083426,0.9986004587025863,0.9962579226083426,0.9986004587025863,False,0.9974 ± 0.0016 (95% CI 0.9963–0.9986)
8,mlp,balanced_accuracy,10,0.9835580235532209,0.00585526178942319,"two-sided mean t interval, df=n-1",0.9793694215957873,0.9877466255106544,0.9793694215957873,0.9877466255106544,False,0.9836 ± 0.0059 (95% CI 0.9794–0.9877)
8,mlp,mcc,10,0.967352819498881,0.011720708329953632,"two-sided mean t interval, df=n-1",0.9589683298519736,0.9757373091457884,0.9589683298519736,0.9757373091457884,False,0.9674 ± 0.0117 (95% CI 0.9590–0.9757)
8,rf,accuracy,10,0.9866930529316132,0.001030046042364808,"two-sided mean t interval, df=n-1",0.9859562023817217,0.9874299034815048,0.9859562023817217,0.9874299034815048,False,0.9867 ± 0.0010 (95% CI 0.9860–0.9874)
8,rf,precision,10,0.9797369873065168,0.001137629135030657,"two-sided mean t interval, df=n-1",0.978923176448319,0.9805507981647146,0.978923176448319,0.9805507981647146,False,0.9797 ± 0.0011 (95% CI 0.9789–0.9806)
8,rf,recall,10,0.9940017684023525,0.00336403672594657,"two-sided mean t interval, df=n-1",0.9915952814984482,0.9964082553062569,0.9915952814984482,0.9964082553062569,False,0.9940 ± 0.0034 (95% CI 0.9916–0.9964)
8,rf,f1,10,0.9868132474957821,0.0010767889208994285,"two-sided mean t interval, df=n-1",0.986042959104925,0.9875835358866393,0.986042959104925,0.9875835358866393,False,0.9868 ± 0.0011 (95% CI 0.9860–0.9876)
8,rf,roc_auc,10,0.9993128662217666,0.00024028906791537312,"two-sided mean t interval, df=n-1",0.9991409737775999,0.9994847586659333,0.9991409737775999,0.9994847586659333,False,0.9993 ± 0.0002 (95% CI 0.9991–0.9995)
8,rf,pr_auc_benign,10,0.9992949101330492,0.000264270085900312,"two-sided mean t interval, df=n-1",0.9991058627020543,0.9994839575640441,0.9991058627020543,0.9994839575640441,False,0.9993 ± 0.0003 (95% CI 0.9991–0.9995)
8,rf,pr_auc_ddos,10,0.9993484241648293,0.00020477596212441535,"two-sided mean t interval, df=n-1",0.9992019362661432,0.9994949120635154,0.9992019362661432,0.9994949120635154,False,0.9993 ± 0.0002 (95% CI 0.9992–0.9995)
8,rf,balanced_accuracy,10,0.9866704617944512,0.0010092771856473359,"two-sided mean t interval, df=n-1",0.9859484683896419,0.9873924551992604,0.9859484683896419,0.9873924551992604,False,0.9867 ± 0.0010 (95% CI 0.9859–0.9874)
8,rf,mcc,10,0.9734972223511503,0.0021319017973983542,"two-sided mean t interval, df=n-1",0.9719721516774925,0.9750222930248081,0.9719721516774925,0.9750222930248081,False,0.9735 ± 0.0021 (95% CI 0.9720–0.9750)
8,xgboost,accuracy,10,0.9861026483669862,0.0010666065808046029,"two-sided mean t interval, df=n-1",0.9853396439834351,0.9868656527505374,0.9853396439834351,0.9868656527505374,False,0.9861 ± 0.0011 (95% CI 0.9853–0.9869)
8,xgboost,precision,10,0.9784858164201846,0.0012027378861284618,"two-sided mean t interval, df=n-1",0.9776254295672488,0.9793462032731204,0.9776254295672488,0.9793462032731204,False,0.9785 ± 0.0012 (95% CI 0.9776–0.9793)
8,xgboost,recall,10,0.9941248213235608,0.003488416408124129,"two-sided mean t interval, df=n-1",0.9916293585550462,0.9966202840920755,0.9916293585550462,0.9966202840920755,False,0.9941 ± 0.0035 (95% CI 0.9916–0.9966)
8,xgboost,f1,10,0.9862383668642568,0.0011103196957676232,"two-sided mean t interval, df=n-1",0.9854440920020345,0.9870326417264791,0.9854440920020345,0.9870326417264791,False,0.9862 ± 0.0011 (95% CI 0.9854–0.9870)
8,xgboost,roc_auc,10,0.9993405052228894,0.0001739050552267235,"two-sided mean t interval, df=n-1",0.9992161010406467,0.9994649094051321,0.9992161010406467,0.9994649094051321,False,0.9993 ± 0.0002 (95% CI 0.9992–0.9995)
8,xgboost,pr_auc_benign,10,0.9993178130644835,0.00018339615651540424,"two-sided mean t interval, df=n-1",0.9991866193573885,0.9994490067715786,0.9991866193573885,0.9994490067715786,False,0.9993 ± 0.0002 (95% CI 0.9992–0.9994)
8,xgboost,pr_auc_ddos,10,0.999343298538777,0.00013452343891407978,"two-sided mean t interval, df=n-1",0.9992470662677325,0.9994395308098215,0.9992470662677325,0.9994395308098215,False,0.9993 ± 0.0001 (95% CI 0.9992–0.9994)
8,xgboost,balanced_accuracy,10,0.9860773896623198,0.001049331660410525,"two-sided mean t interval, df=n-1",0.985326743012373,0.9868280363122667,0.985326743012373,0.9868280363122667,False,0.9861 ± 0.0010 (95% CI 0.9853–0.9868)
8,xgboost,mcc,10,0.9723382032037371,0.0022136292424976963,"two-sided mean t interval, df=n-1",0.9707546682378186,0.9739217381696555,0.9707546682378186,0.9739217381696555,False,0.9723 ± 0.0022 (95% CI 0.9708–0.9739)
