feature_set,seed,model,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,roc_auc,pr_auc_benign,pr_auc_ddos
4,155921,rf,0.9836781609195402,0.9761603184655749,0.9915908464295561,0.9838150816084618,0.9836737928900012,0.9674770433948616,21211,527,183,21579,0.9989781812188836,0.9989987424953535,0.9989637111951667
4,155921,mlp,0.9205977011494253,0.9128630705394191,0.9300615752228656,0.9213820731096645,0.9205924768192716,0.8413432020049024,19806,1932,1522,20240,0.9588126950858038,0.9091512403986362,0.972856845213072
4,155921,hybrid,0.984735632183908,0.9762528216704289,0.993658671078026,0.9848788486063035,0.9847307064102984,0.9696252532837721,21212,526,138,21624,0.9978243608121716,0.9978773392930874,0.9978390190888407
6,155921,xgboost,0.9858390804597701,0.9788930156717094,0.9931072511717673,0.9859489051094891,0.9858350682209007,0.9717804961269871,21272,466,150,21612,0.9992533077394135,0.9992313061959772,0.9992700302413875
6,155921,rf,0.9858850574712643,0.9802870639534884,0.9917287014061208,0.9859746904838047,0.9858818316120677,0.9718361968527676,21304,434,180,21582,0.9992483855553285,0.9992406438718355,0.9992799967738587
6,155921,mlp,0.9720689655172414,0.9747677803965064,0.9692583402260821,0.9720052533351766,0.9720705170630825,0.944153185830041,21192,546,669,21093,0.98396592668219,0.9678970545256593,0.9903791046746119
6,155921,hybrid,0.9856551724137931,0.9790590155017678,0.9925558312655087,0.9857612267250822,0.9856513630520202,0.9714025281440529,21276,462,162,21600,0.9983424912380896,0.9981491956230163,0.9985348176502999
8,155921,xgboost,0.985448275862069,0.9792243139033795,0.9919584597003952,0.9855502545255325,0.9854446820537122,0.9709785314850197,21280,458,175,21587,0.9992352551510143,0.9992068209140771,0.9992602230885697
8,155921,rf,0.9860459770114942,0.9804242176499978,0.9919125080415403,0.9861349048630622,0.986042738517964,0.9721585824332497,21307,431,176,21586,0.9991888965690603,0.9991667817902837,0.9992379739696121
8,155921,mlp,0.9834942528735632,0.9767125770206596,0.9906258615936036,0.983620020988274,0.9834903160208335,0.9670864718021599,21224,514,204,21558,0.9973520435855606,0.9962985011643503,0.9976831467359973
8,155921,hybrid,0.9857011494252873,0.979539061791126,0.9921422663358147,0.9858003835266186,0.9856975937438572,0.9714825927920965,21287,451,171,21591,0.9988360879004289,0.9986498767369243,0.9989983602178303
4,181081,xgboost,0.9848505747126437,0.977637952107193,0.992417976288944,0.98497252183431,0.9848463972897475,0.9698118464873219,21244,494,165,21597,0.9991997630012226,0.9991958775123753,0.9991815294135331
4,181081,rf,0.983448275862069,0.9762357414448669,0.9910394265232975,0.9835818853468327,0.9834440853289963,0.9670075764811111,21213,525,195,21567,0.9989761920519418,0.9989888146382375,0.9989779444487459
4,181081,mlp,0.9263218390804597,0.9255216693418941,0.9273504273504274,0.9264351458672849,0.9263212712702087,0.8526451388941051,20114,1624,1581,20181,0.9579191965974143,0.9085142330175409,0.9725742222214674
4,181081,hybrid,0.9850574712643678,0.9767841011743451,0.9937505743957357,0.9851942963874083,0.9850526724218995,0.9702611898917584,21224,514,136,21626,0.998475414518081,0.9984424263529424,0.9984791169569064
